,name,short_title,price,sku_id,buying_price,biling_price,discount,selling_price,factory_price,Quantity,category_id,L1_name,L2_name,L3_name
0,Johnson's Baby Milk Cream : 100 gms,Johnsons Baby Lotion - 100 ml,135,006AF57F54,81.9000015258789,94.83333333333331,0.0,94.8333333333,70.625,can_map,425.0,personal care,baby needs,baby toiletries
1,Johnson's Baby Milk Cream : 100 gms,Johnsons Baby Lotion - 100 ml,135,006AF57F54,81.9000015258789,94.83333333333331,0.0,94.8333333333,70.625,can_map,425.0,personal care,baby needs,baby toiletries
2,Johnson's Baby Lotion : 500 ml,Johnsons Baby Lotion - 100 ml,345,006AF57F54,81.9000015258789,94.83333333333331,0.0,94.8333333333,70.625,can_map,425.0,personal care,baby needs,baby toiletries
3,Johnson's Baby Powder : 400 gms,Johnsons Baby Lotion - 100 ml,210,006AF57F54,81.9000015258789,94.83333333333331,0.0,94.8333333333,70.625,can_map,425.0,personal care,baby needs,baby toiletries
4,Johnson's Baby Shampoo : 500 ml,Johnsons Baby Lotion - 100 ml,276,006AF57F54,81.9000015258789,94.83333333333331,0.0,94.8333333333,70.625,can_map,425.0,personal care,baby needs,baby toiletries
5,Johnson's Baby Soap : 3x150 gms,Johnsons Baby Lotion - 100 ml,255,006AF57F54,81.9000015258789,94.83333333333331,0.0,94.8333333333,70.625,can_map,425.0,personal care,baby needs,baby toiletries
6,Johnson's Baby Top-To-Toe Bath : 500 ml,Johnsons Baby Lotion - 100 ml,299,006AF57F54,81.9000015258789,94.83333333333331,0.0,94.8333333333,70.625,can_map,425.0,personal care,baby needs,baby toiletries
7,Johnson's Cotton Buds : 75 Pieces,Johnsons Baby Lotion - 100 ml,90,006AF57F54,81.9000015258789,94.83333333333331,0.0,94.8333333333,70.625,can_map,425.0,personal care,baby needs,baby toiletries
8,Himalaya Baby Lotion : 200 ml,Johnsons Baby Lotion - 100 ml,125,006AF57F54,81.9000015258789,94.83333333333331,0.0,94.8333333333,70.625,can_map,425.0,personal care,baby needs,baby toiletries
9,Himalaya Baby Lotion : 400 ml,Johnsons Baby Lotion - 100 ml,250,006AF57F54,81.9000015258789,94.83333333333331,0.0,94.8333333333,70.625,can_map,425.0,personal care,baby needs,baby toiletries
10,Himalaya Baby Care Gift Pack : 1 Unit,Johnsons Baby Lotion - 100 ml,399,006AF57F54,81.9000015258789,94.83333333333331,0.0,94.8333333333,70.625,can_map,425.0,personal care,baby needs,baby toiletries
11,Himalaya Extra Soft & Gentle Baby Cream : 100 ml,Johnsons Baby Lotion - 100 ml,125,006AF57F54,81.9000015258789,94.83333333333331,0.0,94.8333333333,70.625,can_map,425.0,personal care,baby needs,baby toiletries
12,Himalaya Extra Soft & Gentle Baby Cream : 200 ml,Johnsons Baby Lotion - 100 ml,220,006AF57F54,81.9000015258789,94.83333333333331,0.0,94.8333333333,70.625,can_map,425.0,personal care,baby needs,baby toiletries
13,Nivea Shea Smooth Body Lotion : 600 ml,Johnsons Baby Lotion - 100 ml,324,006AF57F54,81.9000015258789,94.83333333333331,0.0,94.8333333333,70.625,can_map,425.0,personal care,baby needs,baby toiletries
14,Tata Sampann 100% Organic Unpolished Moong Dal (Hesaru bele) : 1 kg,Johnsons Baby Lotion - 100 ml,247,006AF57F54,81.9000015258789,94.83333333333331,0.0,94.8333333333,70.625,can_map,425.0,personal care,baby needs,baby toiletries
15,Tata Sampann 100% Organic Unpolished Chana Dal (Kadale Bele) : 1 kg,Johnsons Baby Lotion - 100 ml,171,006AF57F54,81.9000015258789,94.83333333333331,0.0,94.8333333333,70.625,can_map,425.0,personal care,baby needs,baby toiletries
16,Tata Sampann 100% Organic Unpolished Toor Dal (Togari bele) : 1 kg,Johnsons Baby Lotion - 100 ml,234,006AF57F54,81.9000015258789,94.83333333333331,0.0,94.8333333333,70.625,can_map,425.0,personal care,baby needs,baby toiletries
17,Nestle Cerelac Wheat-Rice Mix Veg : 300 gms,Johnsons Baby Lotion - 100 ml,245,006AF57F54,81.9000015258789,94.83333333333331,0.0,94.8333333333,70.625,can_map,425.0,personal care,baby needs,baby toiletries
18,Himalaya Gentle Baby Shampoo : 400 ml,Johnsons Baby Lotion - 100 ml,220,006AF57F54,81.9000015258789,94.83333333333331,0.0,94.8333333333,70.625,can_map,425.0,personal care,baby needs,baby toiletries
19,Himalaya Extra Moisturizing Baby Soap : 125 gms,Johnsons Baby Lotion - 100 ml,55,006AF57F54,81.9000015258789,94.83333333333331,0.0,94.8333333333,70.625,can_map,425.0,personal care,baby needs,baby toiletries
20,Nestle Cerelac 5 Grains & Fruits : 300 gms,Johnsons Baby Lotion - 100 ml,255,006AF57F54,81.9000015258789,94.83333333333331,0.0,94.8333333333,70.625,can_map,425.0,personal care,baby needs,baby toiletries
21,Cerelac Multigrain Dal Veg : 300 gms,Johnsons Baby Lotion - 100 ml,255,006AF57F54,81.9000015258789,94.83333333333331,0.0,94.8333333333,70.625,can_map,425.0,personal care,baby needs,baby toiletries
22,Nestle Cerelac Wheat Apple Cherry : 300 gms,Johnsons Baby Lotion - 100 ml,225,006AF57F54,81.9000015258789,94.83333333333331,0.0,94.8333333333,70.625,can_map,425.0,personal care,baby needs,baby toiletries
23,Nestle Cerelac Wheat Rice Mix Fruit : 300 gms,Johnsons Baby Lotion - 100 ml,245,006AF57F54,81.9000015258789,94.83333333333331,0.0,94.8333333333,70.625,can_map,425.0,personal care,baby needs,baby toiletries
24,Nestle Cerelac Wheat Apple Pac : 300 gms,Johnsons Baby Lotion - 100 ml,199,006AF57F54,81.9000015258789,94.83333333333331,0.0,94.8333333333,70.625,can_map,425.0,personal care,baby needs,baby toiletries
25,Himalaya Gentle Baby Wipe : 72 Wipes,Johnsons Baby Lotion - 100 ml,140,006AF57F54,81.9000015258789,94.83333333333331,0.0,94.8333333333,70.625,can_map,425.0,personal care,baby needs,baby toiletries
26,Pampers Baby-Dry Pants - New Baby : 86 U,Johnsons Baby Lotion - 100 ml,749,006AF57F54,81.9000015258789,94.83333333333331,0.0,94.8333333333,70.625,can_map,425.0,personal care,baby needs,baby toiletries
27,Himalaya Baby Massage Oil : 200 ml,Johnsons Baby Lotion - 100 ml,136,006AF57F54,81.9000015258789,94.83333333333331,0.0,94.8333333333,70.625,can_map,425.0,personal care,baby needs,baby toiletries
28,Himalaya Gentle Baby Shampoo : 200 ml,Johnsons Baby Lotion - 100 ml,135,006AF57F54,81.9000015258789,94.83333333333331,0.0,94.8333333333,70.625,can_map,425.0,personal care,baby needs,baby toiletries
29,Himalaya Gentle Baby Soap : 4x75 gms,Johnsons Baby Lotion - 100 ml,169,006AF57F54,81.9000015258789,94.83333333333331,0.0,94.8333333333,70.625,can_map,425.0,personal care,baby needs,baby toiletries
30,Nivea Body Lotion : 200 ml,Johnsons Baby Lotion - 100 ml,175,006AF57F54,81.9000015258789,94.83333333333331,0.0,94.8333333333,70.625,can_map,425.0,personal care,baby needs,baby toiletries
31,Nivea Body Nourishing Lotion : 120 ml,Johnsons Baby Lotion - 100 ml,70,006AF57F54,81.9000015258789,94.83333333333331,0.0,94.8333333333,70.625,can_map,425.0,personal care,baby needs,baby toiletries
